Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
¡Práctico!;Dependes de la;11;positive;positive;3;0.28162417593293426
Es buena,a mejorar!!!;Si avisara por;8;positive;positive;3;0.28367333153992996
Muy buena apk.;Perffectoo....;1;positive;positive;3;0.28822360929798374
Ahora si;Por fin an puesto por;10;positive;positive;3;0.2972720086344186
Muy buena;Util;1;;positive;3;0.29744333319453975
Me gusta;Es una ayuda;3;;positive;3;0.2977907584894947
Jose;Es verdad lo que cuenta...;5;negative;positive;3;0.3015209006692449
eficaz;A mi me gusta.si;22;positive;positive;3;0.30842387138567967
Buenisima!;Muy precisa;2;positive;positive;3;0.3104676549447563
Buena;Muy bueno;2;positive;positive;3;2.066293714165454
Recomendable;Recomendable;1;positive;positive;3;2.4949019031120727
Ahora si va mucho mejor;La nueva actualización funciona bien. Ahora sí;7;positive;positive;4;0.10711075562158764
Ahora si. Todo perfecto;Es muy útil y funciona muy bien. El único problema que tenia es que no me funcionaba…;38;positive;positive;2;0.13676550040935065
Muy util;Pero lo ideal solo seria…;49;positive;positive;2;0.14560205757193667
Ahora va muy bien.;Hace tiempo se hizo una actualización con la cual dejaba de funcionar, ahora han vuelto a actualizarlo y vuelve a funcionar como antes, perfectamente, muchas gracias.;28;positive;positive;2;0.157160061233533
No esta nada mal;Soy de y tiene bastantes…;52;negative;positive;2;0.19329080459562248
Practica;Muy util para los que…;17;;positive;4;0.19928278219322493
Es una gran aplicacion!;Es muy practica para aquellos que;34;positive;positive;2;0.2145432505538597
Mucho mejor;Seguid así, la aplicacion ha mejorado mucho desd aquella actualizacion q casi se la carga. Ahora es todo configurable, ademas de ser mas rapido el funcionamiento.;49;positive;positive;2;0.22681934668879733
Me gusta pero........;le dare las 5 estrellas, cuando consiga…;16;negative;positive;4;0.23671299974719007
Ahora si;Haber kon anterioridad le di 1 * xke su version no me gustaba la veia un poko…;42;positive;positive;2;0.26409099099319566
Buena;Anda ya los;22;;positive;4;0.27299127768796616
FUNCIONA;Me funciona bastante bien;4;positive;positive;4;0.3159142897489563
Mal usada;La aplicacion es perfecta. Lo ke veo incorrecto es;42;negative;positive;2;0.3195760966430152
jorge;Gracias a los creadores de la app y a las personas que;27;positive;positive;2;0.35809490388507426
Luis Miguel;Sinceramente es una App,muy buena,la verdad…;35;positive;positive;4;0.3972941362709064
Me meti y me;buena aplicacion espero que no cambie;17;positive;positive;4;0.4009862986582935
Pep Vich;Muy util para la gente q;16;positive;positive;4;0.4723618536219514
Muy útil;Cuando estás tanto tiempo … esta aplicación lo hace. Felicidades.;21;positive;positive;4;0.5114589565782479
Hay que darle;Es muy útil;16;positive;positive;4;0.5130354559770571
Creó que es muy interesante;… lo mínimo es agradecérselo;21;positive;positive;4;0.5288740718201562
Estupendo;Va de lujo, para tener;21;positive;positive;4;0.5819337314075256
Está bien;Buena app, habría q depurarla un poco pero van en buen camino.;12;negative;positive;4;0.7433646662511416
Genial;Me parece fantástica me esta siendo súper útil por diversos motivos e intento;25;positive;positive;4;0.8083844566577392
Genial esta versión;Cumple las expectativas y en;25;positive;positive;4;0.8135213140892275
Me encanta!;Buenisima aplicación, la deberían de tener … Muy recomendable.;30;positive;positive;4;0.8709106029180158
Genial!;Una aplicación muy buena, lo único que cambiaría sería … Por lo demás perfecta;19;positive;positive;4;0.9115975679701867
Buena aplica;Aplicacion muy buena y la mejora a sido muy buena!;10;positive;positive;4;2.0785325950993263
Muy buena;Siempre viene bien....;4;positive;positive;5;0.31941155594564963
aora si;Gracias;3;positive;positive;5;0.33554752905825097
Genial;Hasta la fecha … La recomiendo;9;positive;positive;5;0.340635632699804
Ya funciona;…;1;positive;positive;5;0.340837500179434
Hoy por hoy la mejor;La mejor app de … de todas;9;positive;positive;5;0.34492867716290615
Nada mal...muy buena...;…;2;positive;positive;5;0.3730127762637939
Funciona muy bien;Es perfecta,al menos en.;5;positive;positive;5;0.3772858629714271
Ok;Ok;1;positive;positive;5;0.4105840889977529
Muy buena;A ver si así nos podemos l;12;positive;positive;4;0.4169960651198418
Jose;Tendria q funcionar tambien sin sonido,solo con vibracion;8;positive;positive;5;0.43601232889025476
buenisima;funciona como un tiro indispensable para;13;positive;positive;4;0.458069977730335
Genial;Va de lujo con la actualzacion;6;positive;positive;5;0.46259171937988186
Pésima actualización;Antes iba de lujo, ahora falla siempre;7;negative;positive;5;0.47537761398081535
Muy buena;Después de los últimos arreglos va muy buen, espero que no tropiecen.;12;positive;positive;4;0.5020110593028815
Excelente.!;Realmente útil.!;2;positive;positive;5;0.5313428364649476
Magnifica;Lo mejor;2;positive;positive;5;0.5565330772558457
Excelente;Para saber;11;positive;positive;4;0.5907584355916051
Desde que an Actualizado;Esta muy bien la aplicacion;5;positive;positive;5;0.5983660634855417
Guena;Esta muy bien a ver si es verdad os doy 5 estrellas;12;positive;positive;4;0.6265411347953563
Util a tiempo real;De gran ayuda cuando;5;;positive;5;0.6340958807855093
Mejorado;Va mejorando su funcionamiento. Buen trabajo;6;positive;positive;5;0.644796831841997
Muy buena;Bastante útil para;8;positive;positive;5;0.6474717935270584
Muy util;Me gusta;2;positive;positive;5;0.6507921259936814
Muy buena;La aplicación funciona de maravilla;7;positive;positive;5;0.6516914337116528
Buena aplicacion;Está bien, aun puede mejorar. Gracias un gran trabajo;9;positive;positive;5;0.660120247655165
muy util;perfecta para…;12;positive;positive;4;0.6642221183609911
Me parece una gran aplicación;Es muy útil para las;11;positive;positive;5;0.6665217815523699
Me a gustado;Buena app para;5;positive;positive;5;0.670468060537199
Buena;Pues eso....muy buena......;3;positive;positive;5;0.6801670421347353
Muy buena;Aunque orientativa...... Y de buena ayuda;6;positive;positive;5;0.6818796304787703
george;Por ahra util;3;negative;positive;5;0.6819368123322846
Actualización no funciona;Con la nueva actualización q puedes elegir diseño está perfecta;10;negative;positive;5;0.6930388877217459
Perfecta;Ahora está muy bien;4;positive;positive;5;0.6946132881913312
Fantástico;Una estupenda aplicación;3;positive;positive;5;0.7036848999693831
buena;…;2;;positive;5;0.7274064792791561
Grande!!;Gran aplicación,;2;positive;positive;5;0.7290006586523401
Muy buena;Especially buenisima;2;positive;positive;5;0.7364849716820878
arreglado;el nuevo update va muy bien.;6;positive;positive;5;0.7775944112834658
Muy buena;Buena aplicación;2;positive;positive;5;0.7892840992683733
Buena.;Buena aplicación.;2;positive;positive;5;0.7892840992683733
Muy buena;Aun la estoy probando pero de momento me gusta;9;positive;positive;5;0.794210584136167
Perfecta;Por fin. 5 estrellas y cien por cien recomendable;9;positive;positive;5;0.7964592393297233
Muy util;Es muy buena y de utilidad;6;positive;positive;5;0.8250062267641357
Buena;esta muy bien así nos;10;positive;positive;5;0.8486203812383325
buena y necesaria;Perfecta en su fabricacion. Guncioma de diez y;12;;positive;4;0.8769455680589548
Buena;Esta muy bien..;3;positive;positive;5;0.9502445375291844
Muy completa;Esta muy bien;3;;positive;5;0.9502445375291844
Ahora va bien;Cambios para mejor solucionados muchos problemas .va muy bien la aplicación.gracias;11;positive;positive;4;0.9703495487273479
de utilidad;Muy buena, y muy util para;9;;positive;5;0.9833436469925811
Buena herramienta;Me parece genial.;3;;positive;5;0.9845039874196955
Magnifica;Es de las mejores app que e probado y es;15;positive;positive;4;0.9875334198695158
Buena;Muy buena app para;7;positive;positive;5;1.0158067027225908
app muy buena;Me parece muy buena y de gran ayuda;8;positive;positive;5;1.0349163821288017
Gran aplicacion;Sencilla de usar y muy util,;7;positive;positive;5;1.0805100826193086
Buena;Es muy buena y muy;6;positive;positive;5;1.1124764077101597
Ya funciona;Ya va como empezó, sin problemas, muy útil para los que;18;positive;positive;4;1.1176293984723555
Buena;MUY UTIL. FACIIL MANEJO;4;positive;positive;5;1.1324859398915716
Perfecta;Fenomenal!;1;positive;positive;5;1.165488007226509
Me gusta;Fenomenal....;1;positive;positive;5;1.165488007226509
Buena;Muy buena están haciendo un buen trabajo;7;positive;positive;5;1.1738691703782254
Va genial;Lo recomiendo :-);3;positive;positive;5;1.1755643481282338
una makina;muy practico;2;positive;positive;5;1.2045016189965068
Muy util;Es muy util,y muy buena;5;positive;positive;5;1.2131584025905637
bueno;Bueno;1;positive;positive;5;1.2139421714046004
Muy buena;Con la nueva actualización va de lujo, arreglados todos los fallos, muy buena aplicación;14;positive;positive;4;1.2520745197362697
Noe;Una maravilla;2;positive;positive;5;1.2712604743582523
Estupenda!;Una gran ayuda!;3;positive;positive;5;1.2940112542762372
Muy buena aplicacion;Muy bien pensado!!funkciona a!;6;positive;positive;5;1.3622623939891931
Simplemente perfecto;Muy útil;2;positive;positive;5;1.3795299147000695
Recomendada;Muy útil!;2;positive;positive;5;1.3795299147000695
Probe y me gustó;Va genial. ...era lo que buscaba;6;;positive;5;1.3956457796568655
Me guata bastante.;Funciona muy bien.;3;negative;positive;5;1.405696999784983
muy buena;m parece una muy buena aplicación facil d interpretar;9;positive;positive;5;1.4137229404687164
ahora si!!!;ahora si,perfecto,gracias!!!!;2;positive;positive;5;1.4227142158206205
Muy buena aplicacion;Funciona muy bien y es muy util;7;positive;positive;5;1.4250767923350358
Genial;De momento va todo genial;5;positive;positive;5;1.4969270885723798
estupenda ami me va genial gracias y sigan mejorandola;estupenda ami me va genial gracias y sigan mej;9;;positive;5;1.5277968041247558
Ok;Muy bien;2;positive;positive;5;1.5933008062007696
Muy bien;Muy bien...;2;;positive;5;1.5933008062007696
Recomendable;Muy buena aplicación.;3;positive;positive;5;1.6308998956057812
Muy buena;Excelente aplicacion. Muy completa con;15;positive;positive;4;1.7698177425486767
Genial;Fantástica;1;positive;positive;5;1.837082362558044
util;Muy buena me gusta mucho;5;positive;positive;5;1.8818057000064565
Excelente;Muy buena app;3;positive;positive;5;1.94386241769239
FANTASTICA;Muy buena app;3;positive;positive;5;1.94386241769239
Necesita mejorar.;Excelente App!;2;positive;positive;5;2.0529319053816817
Encantada;Muy práctica y fácil de usar. 100%recomendable;7;positive;positive;5;2.05555639366319
Muy buena;Muy buena;2;positive;positive;5;2.066293714165454
Muy buena;Muy buena;2;positive;positive;5;2.066293714165454
Muy buena aplicación me encanta;Muy bueno;2;;positive;5;2.066293714165454
Muy buena aplicación;Funciona genial, muy buena aplicación.;5;positive;positive;5;2.098546667748921
Buena;Estupenda!!!!!!;1;positive;positive;5;2.2203869835864225
Muy buena;Funciona perfectamente;2;positive;positive;5;2.295085568258301
Genial;Me encanta;2;;positive;5;2.3330127336909143
Excelente;Recomendable;1;positive;positive;5;2.4949019031120727
Muy buena aplicacion;Muy buena genial;3;positive;positive;5;2.8148181335684743
Buena;Genial;1;positive;positive;5;2.9243930861663596
Wuau;Genial;1;positive;positive;5;2.9243930861663596
Muy buena;Genial;1;positive;positive;5;2.9243930861663596
Sg S5;Excelente y exacta;3;negative;positive;5;3.2645785544908428
