"usuario","op","co","ex","ag","ne","wordcount","categoria"
"CourteneyCox","53.110480","20.175600","39.006080","17.206400","4.092320","118.5280","1"
"Courtney","49.285420","22.643817","42.117786","21.008931","8.387252","114.1832","2"
"Cristiano","52.895725","26.409466","38.620229","19.972748","6.879237","116.3359","7"
"CristiPedroche","30.691797","12.708594","59.824844","33.395938","3.477188","62.2969","4"
"DaniMateoAgain","34.949528","19.218583","50.177402","36.325276","9.626929","60.3858","5"
"DANIROVIRA","41.765960","23.895051","49.865253","30.071414","2.546667","50.5556","1"
"davidbisbal","30.825938","16.398359","55.912578","29.489922","4.515391","87.9922","2"
"David_Busta","38.948976","7.852756","44.460866","27.345827","2.073937","102.7087","2"
"Diane_Keaton","46.955854","23.499024","35.376179","23.747561","4.934065","150.9431","1"
"DidacLee","45.053969","22.041985","48.950992","24.374427","6.090000","30.8244","6"
"drexlerjorge","45.088504","16.445827","50.765276","25.712520","5.821339","61.3228","2"
"edans","42.444615","23.410769","45.780231","24.745615","6.748308","43.5615","6"
"EdwardNorton","40.046439","22.142424","37.722197","30.568258","7.855909","183.7727","1"
"EmWatson","52.535221","37.277168","35.290973","15.793009","5.702301","95.8673","1"
"enrique305","56.691163","34.262326","31.135698","20.439651","11.337791","92.1512","2"
"epunset","48.709282","19.606051","44.728513","19.387538","23.978462","84.9641","6"
"EvaLongoria","53.453713","28.015359","38.522321","16.655907","4.988903","117.1814","3"
"eva_hache","31.450855","19.430342","45.490983","40.583162","8.332692","37.3419","1"
"FALCAO","31.891474","14.213368","53.373368","24.296316","4.348316","72.8105","7"
"Fergie","49.077731","23.460840","45.670798","17.449202","3.677017","80.9454","2"
"FernandezAnibal","36.196989","24.505484","42.358817","24.191613","8.664086","48.7849","8"
"fieritacatalano","38.913420","21.571861","46.979524","28.669524","6.160779","46.5541","6"
"foofighters","60.225087","22.309478","28.902609","14.337043","4.473304","18.2391","2"
"GeorgeHWBush","35.545054","20.424086","30.295484","39.422796","4.698710","57.6344","8"
"gwenstefani","56.815859","22.932031","38.419375","13.961641","5.786875","87.8672","2"
"GwynethPaltrow","49.470000","23.442595","30.966260","23.053053","9.577863","114.3435","1"
"heidiklum","47.811742","26.429697","41.364470","20.816439","7.316742","98.8030","3"
"HerreraBeutler","35.779512","26.518049","31.227724","27.689919","11.420325","182.1301","8"
"HilaryDuff","55.974031","22.308217","33.090000","21.330698","8.405426","114.4109","2"
"HillaryClinton","40.502021","25.407660","34.040957","16.767979","10.229043","171.3617","8"
"hughlaurie","38.788280","29.765914","36.947204","24.048172","9.351505","98.1935","4"
"IamStevenT","52.082462","24.797231","39.402308","16.628231","4.004000","118.9462","2"
"IanMcKellen","57.427596","25.008750","33.121827","12.412404","7.410577","123.8173","1"
"ierrejon","39.528547","24.875983","42.353077","23.810769","7.340855","91.6325","8"
"iescolar","39.361550","22.221628","40.205116","26.271240","12.314729","51.7209","9"
"JerrySeinfeld","66.665564","20.382331","26.855564","15.602331","4.110075","172.3383","1"
"jessicaalba","48.587099","49.637863","26.988702","9.948168","2.979542","217.1832","1"
"JessieJ","52.675729","24.691667","35.326250","16.510208","10.034583","91.8125","2"
"JesusCalleja","45.813043","15.982935","53.545870","30.403261","5.573043","112.0435","4"
"JesusEncinar","44.765313","22.090781","43.954375","24.824609","6.656406","85.8672","6"
"jiminhofe","42.643386","36.025197","33.345984","14.643386","9.434488","157.6299","8"
"jimlangevin","44.512578","27.203516","37.723594","15.144922","10.280313","173.8594","8"
"jimmyfallon","51.830571","18.580952","44.304667","10.049524","11.260476","119.1905","4"
"jk_rowling","42.202857","22.814286","38.628681","21.689890","12.730110","140.1978","9"
"JLo","57.241308","22.909462","33.237462","16.194154","7.531000","104.7231","2"
"JohnKerry","36.353298","19.772979","39.223723","26.603617","9.733936","206.5319","8"
"jordievole","35.566589","20.262248","48.679535","29.923023","9.008605","62.4264","4"
"jordiGlez","33.422105","17.846526","56.539263","32.230842","3.339263","52.1474","4"
"josjaviersantos","31.750300","20.558700","44.344300","39.149900","5.220800","70.8100","9"
"JPVarsky","33.332362","21.296850","46.603622","37.348898","11.800472","75.9843","5"
"jtimberlake","41.929385","26.924846","41.960077","17.815385","6.549692","107.7615","2"
"JudgeJudy","57.145227","21.955795","31.194545","16.385000","4.713864","103.9773","4"
"justdemi","46.137348","22.366667","43.874697","15.843258","6.280379","162.0000","1"
"justinbieber","49.331231","23.935923","34.458231","23.982462","6.296462","89.5692","2"
"KAKA","44.171154","28.855308","43.299846","27.451538","8.062769","61.4846","7"
"kanyewest","49.322373","22.994407","41.494915","14.199153","6.074576","94.3220","2"
"KateUpton","46.158281","21.967969","47.806719","23.341641","5.489844","119.1094","3"
"katyperry","48.355859","28.676094","35.778281","15.101563","10.714609","98.9453","2"
"KevinSpacey","47.143474","27.836737","40.162316","20.520000","9.830947","167.5263","1"
"KidRock","48.403333","27.193256","36.152326","12.157829","7.942403","97.0000","2"
"kobebryant","40.281616","32.293636","35.341515","20.805657","10.999798","100.6465","7"
"ladygaga","49.049323","26.101729","32.918647","22.447594","8.893910","165.5789","2"
"LennyKravitz","47.737462","33.041231","41.528077","19.694385","7.047615","93.1846","2"
"LeoDiCaprio","48.743333","21.939106","42.931870","17.984797","10.362033","216.6911","1"
"lorenzo99","38.766702","26.053404","42.883830","22.152660","9.444681","70.3511","7"
"manuginobili","38.471406","18.883828","41.289922","39.664375","7.084375","49.4063","7"
"MariahCarey","54.911368","21.441684","42.269895","11.263263","6.398526","105.2842","2"
"maria_patino","37.240989","20.251978","46.254286","31.804286","7.949890","55.7143","4"
"martinvars","46.319462","27.272538","38.176692","14.143846","10.461538","124.8462","6"
"MeganFox516","53.331333","32.522667","33.349333","18.497333","7.745333","181.0667","1"
"MelanieGriffith","51.006406","22.106563","36.351563","22.484609","6.091250","135.7578","1"
"MileyCyrus","47.646364","23.285909","39.943939","23.249848","10.560379","91.1894","1"
"NadalMiki","32.683125","17.819583","54.681667","35.906667","6.865938","87.2500","4"
"OfficialAdele","65.067447","24.692128","25.466170","14.787447","1.030213","142.9574","2"
"Oprah","54.431756","25.741221","37.019847","19.690305","5.646107","139.1756","4"
"pabloalboran","35.834375","10.884063","44.595625","23.930625","8.021771","75.9688","2"
"Pablo_Iglesias_","39.546441","22.423051","45.188475","25.213644","7.079407","77.7712","8"
"paugasol","41.114000","26.088231","41.884769","19.713231","11.430462","82.1769","7"
"PaulaMeliveo","50.898163","22.283673","38.136837","19.937347","12.289286","41.6837","5"
"paulocoelho","45.669015","27.750303","44.523106","20.548864","9.120833","80.7879","9"
"perezreverte","37.411719","19.024922","43.379531","33.332422","10.238984","70.7188","9"
"pnique","31.541828","24.789355","47.688172","28.897527","8.211290","81.8495","8"
"porliniers","41.483701","16.283071","50.352283","30.561496","6.048268","39.6299","9"
"RafaelNadal","36.813721","30.046124","52.722403","14.703256","6.625736","95.1008","7"
"RealHughJackman","43.818280","21.572688","42.931613","17.494624","9.609785","89.9140","1"
"Rep_Hunter","39.315610","41.741463","30.739350","13.231220","16.201707","121.2602","8"
"rihanna","63.995606","27.178333","26.921818","9.305985","6.190227","86.0455","2"
"ristomejide","44.541328","20.249219","45.529453","33.891250","7.173672","75.4297","4"
"sanchezcastejon","35.420439","26.267368","41.058070","24.249737","8.590877","103.7105","8"
"SarahPalinUSA","45.162043","24.725591","34.678602","22.719355","11.516344","107.2258","8"
"SerranoIsmael","38.499688","19.819766","46.513828","34.344766","9.364531","66.0234","2"
"shakira","55.293566","18.304496","49.822326","20.592791","6.934574","34.7364","2"
"SJP","46.210000","31.217778","35.002222","19.006667","8.821111","112.5556","1"
"springsteen","54.151721","30.371311","32.722131","11.041475","6.991885","100.2541","2"
"SSantiagosegura","43.443893","19.902672","23.982901","17.032443","10.626489","12.8702","1"
"stevewoz","40.120985","28.510152","27.149545","23.975758","8.723712","61.9242","6"
"taylorswift13","53.950000","23.370992","42.411488","16.108347","4.050496","100.4545","2"
"TheEllenShow","48.796045","19.788582","46.014478","14.642985","5.658731","153.1194","4"
"thelittleidiot","43.805615","23.656077","36.315846","21.608308","11.225231","150.5462","2"
"TheReal_Jlh","51.161000","16.749692","44.074000","17.386154","8.361615","145.8308","1"
"TomCruise","58.380294","14.590784","45.653922","12.822843","4.094706","127.2059","1"
"tomhanks","40.345769","27.483615","37.003923","17.285538","11.544615","114.7077","1"
"usainbolt","40.808939","30.629470","43.961591","18.982424","7.905833","105.5303","7"
"victoriabeckham","57.962308","20.413308","33.373538","17.684000","5.751154","110.0231","3"
"XabiAlonso","35.569389","22.133740","38.904885","31.624351","12.201221","47.5420","7"
"XaviRodriguez","31.960417","15.416979","48.533125","40.096458","11.764583","47.5625","4"
"xoellopez","71.696129","12.489274","27.571210","19.093548","3.241935","74.3065","2"
"ZacEfron","51.537405","26.009695","36.465344","23.008168","7.284962","118.6107","1"
"_josecoronado_","36.258913","18.769348","45.225652","39.427283","9.252065","113.7391","1"
