repoId,title,categories,stars
81,spotify / luigi,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in.",12015
82,facebook / react-native,A framework for building native apps with React.,79785
83,chartjs / Chart.js,Simple HTML5 Charts using the <canvas> tag,44700
84,watson-developer-cloud / python-sdk,🐍 Client library to use the IBM Watson services in Python and available in pip as watson-developer-cloud,1141
85,dipanjanS / practical-machine-learning-with-python,Master the essential skills needed to recognize and solve complex real-world problems with Machine Learning and Deep Learning by leveraging the highly popular Python Machine Learning Eco-system.,1134
86,EbookFoundation / free-programming-books,📚 Freely available programming books,126132
87,robbyrussell / oh-my-zsh,"🙃 A delightful community-driven (with 1,300+ contributors) framework for managing your zsh configuration. Includes 200+ optional plugins (rails, git, OSX, hub, capistrano, brew, ant, php, python,",93100
88,microsoft / TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,53218
89,jquery / jquery,jQuery JavaScript Library,52016
90,ColorlibHQ / AdminLTE,AdminLTE - Free Premium Admin control Panel Theme Based On Bootstrap 3.x,29610
91,hadley / r4ds,R for data science,2104
92,joanby / python-ml-course,Curso de Introducción a Machine Learning con Python,156
93,facebook / react,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",134000
94,donnemartin / system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards,70433
95,angular / angular,One framework. Mobile & desktop.,50149
96,iluwatar / java-design-patterns,Design patterns implemented in Java,50418
97,ageitgey / face_recognition,The world's simplest facial recognition api for Python and the command line,26723
98,ageron / handson-ml,A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in python using Scikit-Learn and TensorFlow.,16151
99,NVIDIA / FastPhotoStyle,"Style transfer, deep learning, feature transform",9774
100,abhat222 / Data-Science--Cheat-Sheet,Cheat Sheets,3896
101,ipython-contrib / jupyter_contrib_nbextensions,A collection of various notebook extensions for Jupyter,3636
102,udacity / deep-learning,Repo for the Deep Learning Nanodegree Foundations program.,3151
103,Kyubyong / nlp_tasks,Natural Language Processing Tasks and References,2620
104,susanli2016 / Machine-Learning-with-Python,Python code for common Machine Learning Algorithms,1579
105,home-assistant / home-assistant,🏡 Open source home automation that puts local control and privacy first,25683
106,firmai / industry-machine-learning,A curated list of applied machine learning and data science notebooks and libraries across different industries.,2837
107,public-apis / public-apis,A collective list of free APIs for use in software and web development.,59777
108,mlflow / mlflow,Open source platform for the machine learning lifecycle,4390
109,igorbarinov / awesome-data-engineering,A curated list of data engineering tools for software developers,445
110,fastai / course-nlp,A Code-First Introduction to NLP course,1252
111,joelgrus / data-science-from-scratch,code for Data Science From Scratch book,4040
112,guipsamora / pandas_exercises,Practice your pandas skills!,3060
113,bjpcjp / scikit-and-tensorflow-workbooks,"based on ""Hands-On Machine Learning with Scikit-Learn & TensorFlow"" (O'Reilly, Aurelien Geron)",284
114,trimstray / the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",21575
115,pyloque / fastscan,quickly text search by ahocorasick algorithm,894
116,TheAlgorithms / Python,All Algorithms implemented in Python,52800
117,aymericdamien / TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),33215
118,faif / python-patterns,A collection of design patterns/idioms in Python,21250
119,GokuMohandas / practicalAI,📚 A practical approach to machine learning.,19475
120,donnemartin / data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials",16154
121,satwikkansal / wtfpython,A collection of surprising Python snippets and lesser-known features.,1484
122,datasciencemasters / go,The Open Source Data Science Masters,5094
123,start,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,12778
124,eriklindernoren / ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep lear,11805
125,tqdm / tqdm,"A Fast, Extensible Progress Bar for Python and CLI",11084
126,plotly / dash,Analytical Web Apps for Python. No JavaScript Required.,9600
127,hangtwenty / dive-into-machine-learning,Dive into Machine Learning with Python Jupyter notebook and scikit-learn!,9504
128,afshinea / stanford-cs-229-machine-learning,VIP cheatsheets for Stanford's CS 229 Machine Learning,2088
129,joke2k / faker,Faker is a Python package that generates fake data for you.,8250
130,slundberg / shap,A unified approach to explain the output of any machine learning model.,6046
131,machinelearningmindset / machine-learning-course,💬 Machine Learning Course with Python. Refer to the course page for step-by-step explanations.,5800
132,keras-team / autokeras,Accessible AutoML for deep learning.,5795
133,kmario23 / deep-learning-drizzle,"Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",5760
134,Pierian-Data / Complete-Python-3-Bootcamp,Course Files for Complete Python 3 Bootcamp Course on Udemy,5151
135,nfmcclure / tensorflow_cookbook,Code for Tensorflow Machine Learning Cookbook,5053
136,BinRoot / TensorFlow-Book,Accompanying source code for Machine Learning with TensorFlow. Refer to the book for step-by-step explanations.,4326
137,lazyprogrammer/machine_learning_examples,,3487
138,yzhao062/pyod,"""."";""A Python Toolbox for Scalable Outlier Detection (Anomaly Detection) http://pyod.readthedocs.io""",2777
139,susanli2016/NLP-with-Python,"Scikit-Learn, NLTK, Spacy, Gensim, Textblob and more",874
140,virgili0/Virgilio,Your new Mentor for Data Science E-Learning.,11533
141,rasbt / python-machine-learning-book,"The ""Python Machine Learning (1st edition)"" book code repository and info resource",10067
142,openai / gpt-2,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",7190
143,microsoft / computerscience,"Free tech resources for faculty, students, and dev advocates for use in computer science courses, workshops, and hackathons.",1146
144,realpython / python-guide,"Python best practices guidebook, written for humans.",18775
145,academic / awesome-datascience,📝 An awesome Data Science repository to learn and apply for real world problems.,10200
146,mdbloice / Augmentor,Image augmentation library in Python for machine learning.,3341
147,tdeboissiere / DeepLearningImplementations,Implementation of recent Deep Learning papers,1651
148,hardikvasa / google-images-download,Python Script to download hundreds of images from 'Google Images'. It is a ready-to-run code!,5509
149,scikit-learn / scikit-learn,scikit-learn: machine learning in Python,36505
148,psf / black,The uncompromising Python code formatter,11950
151,timgrossmann / InstaPy,📷 Instagram Bot - Tool for automated Instagram interactions,8467
152,graphql-python / graphene,GraphQL framework for Python,4864
153,sindresorhus / awesome,Awesome lists about all kinds of interesting topics,113700
154,getify / You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,106300
155,JuliaLang / julia,The Julia Language: A fresh approach to technical computing.,23200
156,pandas-dev / pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",20700
157,ipython / ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.",13704
158,WordPress / WordPress,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit",12755
159,jlevy / the-art-of-command-line,"Master the command line, in one page",63332
160,papers-we-love / papers-we-love,Papers from the computer science community to read and discuss,35619
161,zurb / foundation-sites,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,28222
162,bokeh / bokeh,"Interactive Data Visualization in the browser, from Python",11189
163,OmkarPathak / pygorithm,A Python module for learning all major algorithms,3743
164,MaximAbramchuck / awesome-interview-questions,A curated awesome list of lists of interview questions. Feel free to contribute!,28689
165,nodejs / node,Node.js JavaScript runtime,63397
166,OWASP / CheatSheetSeries,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics,7793
167,explosion / spaCy,💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython,14118
