id,title,artist,mood,tempo,genre,artist_type,chart_date,durationSeg,top,anioNacimiento
32,No Mediocre,T.I. featuring IGGY AZALEA,Defiant,Medium Tempo,Urban,Mixed,20140705,197.0,0,1988.0
33,Something In The Water,CARRIE UNDERWOOD,Romantic,Medium Tempo,Traditional,Female,20141018,184.0,0,.0
34,Fireball,PITBULL featuring JOHN RYAN,Excited,Medium Tempo,Urban,Male,20140823,289.0,0,1981.0
35,Blessings,BIG SEAN featuring DRAKE,Defiant,Medium Tempo,Urban,Male,20150221,250.0,0,1986.0
36,Work,IGGY AZALEA,Energizing,Fast Tempo,Pop,Female,20140517,258.0,0,.0
37,Post To Be,OMARION featuring CHRIS BROWN & JHENE AIKO,Cool,Slow Tempo,Urban,Mixed,20150124,143.0,0,.0
38,Take Me Home,CASH CASH featuring BEBE REXHA,Romantic,Medium Tempo,Traditional,Male,20140201,271.0,0,.0
39,Tuesday,I LOVE MAKONNEN featuring DRAKE,Brooding,Medium Tempo,Alternative & Punk,Male,20141011,234.0,0,1988.0
40,Bad Day,DANIEL POWTER,Empowering,Medium Tempo,Pop,Male,20060408,252.0,1,1971.0
41,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20130914,277.0,1,1986.0
42,Somebody,NATALIE LA ROSE featuring JEREMIH,Sensual,Medium Tempo,Pop,Mixed,20150207,243.0,0,1987.0
43,West Coast,LANA DEL REY,Yearning,Medium Tempo,Electronica,Female,20140503,216.0,0,1981.0
44,Nothin' On You,B.O.B featuring BRUNO MARS,Rowdy,Medium Tempo,Urban,Male,20100501,131.0,1,1985.0
45,Baby Don't Lie,GWEN STEFANI,Cool,Medium Tempo,Pop,Female,20141108,1619.0,0,1969.0
46,Gonna Know We Were Here,JASON ALDEAN,Yearning,Medium Tempo,Traditional,Male,20141004,233.0,0,1977.0
47,Harlem Shake,BAAUER,Energizing,Fast Tempo,Electronica,Male,20130302,169.0,1,1988.0
48,Main Chick,KID INK featuring CHRIS BROWN,Defiant,Medium Tempo,Urban,Male,20140531,203.0,0,1988.0
49,We Belong Together,MARIAH CAREY,Sensual,Medium Tempo,Urban,Female,20050604,17.0,1,1987.0
50,No Flex Zone!!,RAE SREMMURD,Defiant,Medium Tempo,Urban,Male,20140816,271.0,0,1995.0
51,Break Your Heart,TAIO CRUZ featuring LUDACRIS,Excited,Medium Tempo,Urban,Male,20100320,233.0,1,1985.0
52,The Big Bang,KATY TIZ,Urgent,Medium Tempo,Other,Mixed,20140517,314.0,0,.0
53,Keep Your Money,EMPIRE CAST featuring JUSSIE SMOLLETT,Defiant,Medium Tempo,Soundtrack,Mixed,20150228,244.0,0,1974.0
54,Hot Boy,BOBBY SHMURDA,Excited,Fast Tempo,Pop,Mixed,20140816,263.0,0,.0
55,Gas Pedal,SAGE THE GEMINI featuring IAMSU,Other,Slow Tempo,Urban,Male,20140104,243.0,0,1974.0
56,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,220.0,0,1984.0
57,Budapest,GEORGE EZRA,Fiery,Medium Tempo,Alternative & Punk,Male,20150214,216.0,0,.0
58,We Might Be Dead By Tomorrow,SOKO,Sentimental,Slow Tempo,Alternative & Punk,Female,20140329,205.0,0,1988.0
59,Only,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",Cool,Medium Tempo,Urban,Mixed,20141115,185.0,0,1985.0
60,All Of Me,JOHN LEGEND,Sophisticated,Slow Tempo,Urban,Male,20140517,308.0,1,1978.0
61,I Bet,CIARA,Sensual,Medium Tempo,Urban,Female,20150214,197.0,0,1987.0
62,Meanwhile Back At Mama's,TIM McGRAW featuring FAITH HILL,Yearning,Medium Tempo,Traditional,Mixed,20140614,259.0,0,.0
63,This Is How We Roll,FLORIDA GEORGIA LINE featuring LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140301,367.0,0,1987.0
64,Stolen Dance,MILKY CHANCE,Cool,Medium Tempo,Alternative & Punk,Male,20140809,208.0,0,.0
65,Earned It (Fifty Shades Of Grey),THE WEEKND,Sophisticated,Medium Tempo,Urban,Male,20150110,261.0,0,1981.0
66,Heartbeat Song,KELLY CLARKSON,Sophisticated,Medium Tempo,Pop,Female,20150131,204.0,0,.0
67,Touch My Body,MARIAH CAREY,Sensual,Slow Tempo,Urban,Female,20080412,260.0,1,1970.0
68,Let Me Love You,MARIO WINANS,Sensual,Medium Tempo,Urban,Male,20050101,308.0,1,1974.0
69,Invisible,HUNTER HAYES,Empowering,Slow Tempo,Traditional,Male,20140208,223.0,0,1986.0
70,Sweet Little Somethin',JASON ALDEAN,Brooding,Medium Tempo,Traditional,Male,20140920,262.0,0,1979.0
71,Night Changes,ONE DIRECTION,Empowering,Medium Tempo,Pop,Male,20141206,213.0,0,1994.0
72,Style,TAYLOR SWIFT,Yearning,Medium Tempo,Pop,Female,20141115,0.0,0,1982.0
73,I Have Nothing,TESSANNE CHIN,Sentimental,Slow Tempo,Alternative & Punk,Mixed,20140104,4496.0,0,1986.0
74,Chandelier,SIA,Excited,Medium Tempo,Alternative & Punk,Female,20140524,119.0,0,1981.0
75,Empire State Of Mind,JAY-Z & ALICIA KEYS,Energizing,Medium Tempo,Urban,Mixed,20091128,110.0,1,1981.0
76,10 Bands,DRAKE,Cool,Medium Tempo,Urban,Male,20150228,304.0,0,1986.0
77,Raise Your Glass,P!NK,Excited,Medium Tempo,Pop,Female,20101211,232.0,1,1988.0
78,Neon Lights,DEMI LOVATO,Urgent,Medium Tempo,Pop,Female,20140111,372.0,0,1992.0
79,Anything Goes,FLORIDA GEORGIA LINE,Rowdy,Medium Tempo,Rock,Male,20141011,226.0,0,1987.0
80,Umbrella,RIHANNA featuring JAY-Z,Energizing,Medium Tempo,Urban,Mixed,20070609,0.0,1,1988.0
81,Shut Up + Dance,WALK THE MOON,Defiant,Medium Tempo,Alternative & Punk,Male,20141122,0.0,0,1982.0
82,Sunny And 75,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140104,300.0,0,1970.0
83,Happy,PHARRELL WILLIAMS,Energizing,Medium Tempo,Pop,Male,20140308,222.0,1,1985.0
84,Two Night Town,JASON ALDEAN,Empowering,Medium Tempo,Traditional,Male,20140927,0.0,0,.0
85,Marry Me,JASON DERULO,Excited,Medium Tempo,Pop,Male,20140104,279.0,0,1979.0
86,Cool Kids,ECHOSMITH,Yearning,Medium Tempo,Alternative & Punk,Mixed,20140726,331.0,0,1981.0
87,7/11,BEYONCE,Energizing,Fast Tempo,Urban,Female,20150307,217.0,0,1981.0
88,Best Friends,SOPHIA GRACE,Empowering,Medium Tempo,Urban,Female,20150124,230.0,0,1977.0
89,Bleeding Love,LEONA LEWIS,Defiant,Medium Tempo,Urban,Female,20080405,257.0,1,1985.0
90,Birthday,KATY PERRY,Excited,Medium Tempo,Pop,Female,20140426,278.0,0,1975.0
91,Walk Thru,RICH HOMIE QUAN featuring PROBLEM,Sensual,Slow Tempo,Urban,Male,20140906,242.0,0,1990.0
92,Santa Tell Me,ARIANA GRANDE,Sensual,Medium Tempo,Pop,Female,20141213,247.0,0,1993.0
93,Let It Be,TESSANNE CHIN & ADAM LEVINE,Empowering,Medium Tempo,Rock,Male,20140104,267.0,0,1988.0
94,Applause,LADY GAGA,Urgent,Fast Tempo,Pop,Female,20140104,210.0,0,1985.0
95,Rude,MAGIC!,Sensual,Medium Tempo,Other,Male,20140726,228.0,1,1981.0
96,Rude Boy,RIHANNA,Urgent,Fast Tempo,Urban,Female,20100327,259.0,1,1984.0
97,Sing,ED SHEERAN,Urgent,Medium Tempo,Pop,Male,20140426,382.0,0,1971.0
98,Drunk Last Night,ELI YOUNG BAND,Yearning,Medium Tempo,Traditional,Male,20140104,263.0,0,1973.0
99,A Little Too Much,SHAWN MENDES,Empowering,Medium Tempo,Pop,Male,20150221,225.0,0,1975.0
100,Day Drinking,LITTLE BIG TOWN,Urgent,Medium Tempo,Traditional,Mixed,20140621,329.0,0,1971.0
101,Yeah,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140510,0.0,0,1981.0
102,So Sick,NE-YO,Sensual,Slow Tempo,Urban,Male,20060318,146.0,1,1978.0
103,Alone Together,FALL OUT BOY,Defiant,Medium Tempo,Alternative & Punk,Male,20140104,333.0,0,1981.0
104,Thinking Out Loud,ED SHEERAN,Empowering,Slow Tempo,Pop,Male,20141025,319.0,0,1973.0
105,No Role Modelz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,323.0,0,1981.0
106,My Life Would Suck Without You,KELLY CLARKSON,Yearning,Medium Tempo,Pop,Female,20090207,223.0,1,1977.0
107,Close Your Eyes,PARMALEE,Empowering,Medium Tempo,Traditional,Male,20141011,272.0,0,1981.0
108,You And Your Friends,WIZ KHALIFA featuring SNOOP DOGG & TY DOLLAR $IGN,Cool,Slow Tempo,Urban,Male,20141004,0.0,0,1975.0
109,Word Crimes,WEIRD AL YANKOVIC,Excited,Medium Tempo,Other,Male,20140802,568.0,0,1978.0
110,Worth It,FIFTH HARMONY featuring KID INK,Energizing,Medium Tempo,Pop,Mixed,20150207,245.0,0,1976.0
111,Roller Coaster,LUKE BRYAN,Yearning,Medium Tempo,Traditional,Male,20140802,210.0,0,1977.0
112,Lost Without U,CHRIS JAMISON & ADAM LEVINE,Sensual,Medium Tempo,Pop,Male,20150103,4150.0,0,1979.0
113,Only One,KANYE WEST featuring PAUL McCARTNEY,Urgent,Fast Tempo,Rock,Mixed,20150117,208.0,0,1988.0
114,Out The Speakers,A-TRAK + MILO & OTIS featuring RICH KIDZ,Aggressive,Medium Tempo,Electronica,Male,20150221,207.0,0,1971.0
115,Midnight Memories,ONE DIRECTION,Urgent,Medium Tempo,Pop,Male,20140215,188.0,0,1994.0
116,Drop It Like It's Hot,SNOOP DOGG,Cool,Slow Tempo,Urban,Male,20041211,115.0,1,1982.0
117,Don't,ED SHEERAN,Cool,Slow Tempo,Pop,Male,20140628,180.0,0,1977.0
118,Homegrown,ZAC BROWN BAND,Empowering,Medium Tempo,Alternative & Punk,Male,20150131,215.0,0,1981.0
119,Let It Go,DEMI LOVATO,Empowering,Medium Tempo,Pop,Female,20140104,232.0,0,1992.0
120,Set Fire To The Rain,ADELE,Yearning,Medium Tempo,Pop,Female,20120204,152.0,1,1988.0
121,Gold Digger,KANYE WEST featuring JAMIE FOXX,Aggressive,Medium Tempo,Urban,Male,20050917,271.0,1,1970.0
122,Don't Matter,AKON,Sensual,Medium Tempo,Urban,Male,20070407,246.0,1,1973.0
123,Beating Heart,ELLIE GOULDING,Yearning,Medium Tempo,Electronica,Female,20140405,198.0,0,1977.0
124,Studio,SCHOOLBOY Q featuring BJ THE CHICAGO KID,Sensual,Medium Tempo,Urban,Male,20140621,270.0,0,1983.0
125,3,BRITNEY SPEARS,Energizing,Fast Tempo,Pop,Female,20091024,205.0,1,1970.0
126,Slow Me Down,SARA EVANS,Upbeat,Medium Tempo,Traditional,Female,20140329,149.0,0,1969.0
127,Counting Stars,ONEREPUBLIC,Urgent,Medium Tempo,Pop,Male,20140104,225.0,0,1979.0
128,Blurred Lines,ROBIN THICKE featuring T.I. & PHARRELL,Energizing,Medium Tempo,Pop,Male,20140104,151.0,0,1977.0
129,My Baby's Gor A Smile On Her Face,CRAIG WAYNE BOYD,Yearning,Medium Tempo,Traditional,Male,20150103,178.0,0,1978.0
130,I Don't Dance,LEE BRICE,Upbeat,Medium Tempo,Other,Male,20140503,227.0,0,.0
131,Get Her Back,ROBIN THICKE,Easygoing,Medium Tempo,Pop,Male,20140712,182.0,0,.0
132,Whistle,FLO RIDA,Energizing,Medium Tempo,Urban,Male,20120825,198.0,1,1979.0
133,I Kissed A Girl,KATY PERRY,Aggressive,Fast Tempo,Pop,Female,20080705,156.0,1,1984.0
134,This Is How We Do,KATY PERRY,Energizing,Medium Tempo,Pop,Female,20140816,176.0,0,1984.0
135,Habits (Stay High),TOVE LO,Sophisticated,Medium Tempo,Electronica,Female,20140614,0.0,0,.0
136,Animals,MARTIN GARRIX,Defiant,Fast Tempo,Alternative & Punk,Male,20140104,240.0,0,.0
137,Get Ur Freak On,"MISSY ""MISDEMEANOR"" ELLIOTT",Defiant,Medium Tempo,Urban,Female,20150221,175.0,0,.0
138,Bad Blood,BASTILLE,Excited,Fast Tempo,Alternative & Punk,Male,20140426,218.0,0,1973.0
139,Give Me Back My Hometown,ERIC CHURCH,Empowering,Medium Tempo,Traditional,Male,20140125,239.0,0,1977.0
140,Slow Jamz,TWISTA feat KANYE WEST & JAMIE FOXX,Yearning,Medium Tempo,Urban,Male,20040221,250.0,1,1973.0
141,Fever,THE BLACK KEYS,Brooding,Medium Tempo,Alternative & Punk,Male,20140412,251.0,0,.0
142,My Baby's Guns N' Roses,BRANTLEY GILBERT,Empowering,Medium Tempo,Traditional,Male,20140517,270.0,0,1985.0
143,Wonderland,TAYLOR SWIFT,Empowering,Medium Tempo,Pop,Female,20150307,252.0,0,1989.0
144,Wasting All These Tears,CASSADEE POPE,Empowering,Slow Tempo,Traditional,Female,20140104,217.0,0,.0
145,I Won't Let You Down,OK GO,Energizing,Medium Tempo,Alternative & Punk,Male,20141115,0.0,0,.0
146,Hookah,TYGA featuring YOUNG THUG,Defiant,Medium Tempo,Urban,Male,20140830,253.0,0,.0
147,Kiss Me Kiss Me,5 SECONDS OF SUMMER,Stirring,Fast Tempo,Pop,Male,20140705,269.0,0,1996.0
148,Somebody That I Used To Know,CHRISTINA GRIMMIE & ADAM LEVINE,Yearning,Medium Tempo,Pop,Mixed,20140607,220.0,0,.0
149,Give It To Me,TIMBALAND feat NELLY FURTADO & JUSTIN TIMBERLAKE,Energizing,Medium Tempo,Pop,Mixed,20070421,93.0,1,1972.0
150,Grillz,"NELLY featuring PAUL WALL, ALI & GIPP",Cool,Medium Tempo,Urban,Male,20060121,701.0,1,1974.0
151,London Bridge,FERGIE,Cool,Medium Tempo,Pop,Female,20060819,310.0,1,1975.0
152,Centuries,FALL OUT BOY,Urgent,Medium Tempo,Alternative & Punk,Male,20140927,209.0,0,1984.0
153,Unconditionally,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,241.0,0,1984.0
154,Shell Shocked,"JUICY J, WIZ KHALIFA & TY DOLLA $IGN featuring KILL THE NOIS",Cool,Medium Tempo,Urban,Male,20140830,271.0,0,.0
155,Wet Dreamz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,300.0,0,1985.0
156,Am I Wrong,NICO & VINZ,Yearning,Medium Tempo,Pop,Male,20140503,211.0,0,1990.0
157,Down,JAY SEAN featuring LIL WAYNE,Cool,Medium Tempo,Urban,Male,20091017,223.0,1,1981.0
158,She Knows,J. COLE featuring AMBER COFFMAN & THE CULTS,Aggressive,Medium Tempo,Urban,Mixed,20140125,224.0,0,1985.0
159,The Days,AVICII,Yearning,Medium Tempo,Electronica,Male,20141025,240.0,0,1989.0
160,Girls Chase Boys,INGRID MICHAELSON,Yearning,Medium Tempo,Pop,Female,20140426,234.0,0,1979.0
161,Do I Make You Proud,TAYLOR HICKS,Empowering,Medium Tempo,Pop,Male,20060701,352.0,1,1976.0
162,Na Na,TREY SONGZ,Sensual,Slow Tempo,Urban,Male,20140208,193.0,0,1984.0
163,Sunshine & Whiskey,FRANKIE BALLARD,Empowering,Medium Tempo,Traditional,Male,20140726,233.0,0,.0
164,Odio,ROMEO SANTOS featuring DRAKE,Romantic,Medium Tempo,Traditional,Male,20140215,6743.0,0,1986.0
165,Everything I Didn't Say,5 SECONDS OF SUMMER,Melancholy,Medium Tempo,Pop,Male,20140802,243.0,0,1996.0
166,Maps,MAROON 5,Urgent,Medium Tempo,Pop,Male,20140705,203.0,0,1979.0
167,Waves,MR. PROBZ,Urgent,Fast Tempo,Other,Male,20140906,249.0,0,.0
168,Someone Like You,ADELE,Sophisticated,Medium Tempo,Pop,Female,20110917,235.0,1,1988.0
169,Life Of The Party,SHAWN MENDES,Empowering,Medium Tempo,Pop,Male,20140712,203.0,0,1999.0
170,A Man Who Was Gonna Die Young,ERIC CHURCH,Sentimental,Slow Tempo,Traditional,Male,20140215,234.0,0,1977.0
171,Hope You Get Lonely Tonight,COLE SWINDELL,Empowering,Medium Tempo,Traditional,Male,20140628,232.0,0,1983.0
172,The Devil Is A Lie,RICK ROSS featuring JAY Z,Cool,Medium Tempo,Urban,Male,20140322,230.0,0,.0
173,River Bank,BRAD PAISLEY,Rowdy,Medium Tempo,Traditional,Male,20140524,191.0,0,1972.0
174,The Hanging Tree,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,Peaceful,Medium Tempo,Soundtrack,Mixed,20141213,235.0,0,.0
175,Grenade,BRUNO MARS,Brooding,Medium Tempo,Pop,Male,20110108,773.0,1,1985.0
176,We Found Love,RIHANNA featuring CALVIN HARRIS,Excited,Medium Tempo,Pop,Female,20111112,74.0,1,1988.0
177,Royals,LORDE,Cool,Medium Tempo,Electronica,Female,20140104,265.0,0,1996.0
178,Collard Greens,SCHOOLBOY Q featuring KENDRICK LAMAR,Defiant,Medium Tempo,Urban,Male,20140208,298.0,0,.0
179,All About That Bass,MEGHAN TRAINOR,Cool,Medium Tempo,Pop,Female,20140920,228.0,1,1993.0
180,Homegrown Honey,DARIUS RUCKER,Yearning,Medium Tempo,Traditional,Male,20141122,243.0,0,1966.0
181,Little Red Wagon,MIRANDA LAMBERT,Yearning,Medium Tempo,Traditional,Female,20150228,252.0,0,1983.0
182,This Is Why I'm Hot,MIMS,Cool,Medium Tempo,Urban,Male,20070310,288.0,1,1981.0
183,Can't Stop Dancin',BECKY G,Sensual,Medium Tempo,Pop,Female,20150110,162.0,0,1997.0
184,Burnin' Up,JESSIE J featuring 2 CHAINZ,Excited,Medium Tempo,Pop,Mixed,20141101,301.0,0,.0
185,Viva La Vida,COLDPLAY,Empowering,Medium Tempo,Alternative & Punk,Male,20080628,205.0,1,1977.0
186,Outside,CALVIN HARRIS featuring ELLIE GOULDING,Yearning,Medium Tempo,Pop,Mixed,20141108,206.0,0,1984.0
187,Take It On Back,CHASE BRYANT,Gritty,Medium Tempo,Traditional,Female,20150117,238.0,0,.0
188,Wake Up Lovin' You,CRAIG MORGAN,Urgent,Medium Tempo,Traditional,Male,20140510,270.0,0,1965.0
189,Best Mistake,ARIANA GRANDE featuring BIG SEAN,Excited,Fast Tempo,Urban,Mixed,20140830,201.0,0,1994.0
190,G.U.Y.,LADY GAGA,Urgent,Medium Tempo,Pop,Female,20140412,234.0,0,1986.0
191,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],PITBULL featuring JENNIFER LOPEZ & CLAUDIA LEITTE,Excited,Medium Tempo,Pop,Mixed,20140426,260.0,0,1979.0
192,Sanctified,RICK ROSS featuring KANYE WEST & BIG SEAN,Defiant,Medium Tempo,Urban,Male,20140322,165.0,0,1976.0
193,U Guessed It,OG MACO,Defiant,Medium Tempo,Urban,Male,20141018,276.0,0,.0
194,Cop Car,KEITH URBAN,Empowering,Slow Tempo,Traditional,Male,20140215,91.0,0,1967.0
195,L.A.LOVE (la la),FERGIE,Sensual,Medium Tempo,Pop,Mixed,20141025,244.0,0,1975.0
196,Born This Way,LADY GAGA,Excited,Medium Tempo,Pop,Female,20110226,26.0,1,1986.0
197,Man Of The Year,SCHOOLBOY Q,Defiant,Medium Tempo,Urban,Male,20140208,258.0,0,.0
198,Love Me Again,JOHN NEWMAN,Defiant,Medium Tempo,Urban,Male,20140104,203.0,0,.0
199,Stay With Me,SAM SMITH,Yearning,Medium Tempo,Urban,Male,20140419,319.0,0,1992.0
200,I Lived,ONEREPUBLIC,Empowering,Medium Tempo,Pop,Male,20141213,185.0,0,1979.0
201,Partition,BEYONCE,Fiery,Medium Tempo,Soundtrack,Mixed,20140125,261.0,0,1981.0
202,Talladega,ERIC CHURCH,Empowering,Medium Tempo,Traditional,Male,20141108,296.0,0,1977.0
203,Sun Daze,FLORIDA GEORGIA LINE,Yearning,Medium Tempo,Traditional,Male,20141115,286.0,0,1987.0
204,No Love,AUGUST ALSINA,Sensual,Medium Tempo,Urban,Male,20141004,224.0,0,.0
205,Lonely Eyes,CHRIS YOUNG,Empowering,Medium Tempo,Traditional,Male,20150103,167.0,0,1985.0
206,Often,THE WEEKND,Sensual,Medium Tempo,Urban,Male,20141101,236.0,0,.0
207,The Monster,EMINEM featuring RIHANNA,Energizing,Medium Tempo,Urban,Mixed,20131221,259.0,1,1972.0
208,Diamonds,RIHANNA,Urgent,Medium Tempo,Urban,Female,20121201,252.0,1,1988.0
209,Bend Ova,LIL JON featuring TYGA,Aggressive,Medium Tempo,Urban,Male,20140927,333.0,0,.0
210,Dare (La La La),SHAKIRA,Energizing,Medium Tempo,Alternative & Punk,Mixed,20140607,0.0,0,1977.0
211,Love More,CHRIS BROWN featuring NICKI MINAJ,Excited,Medium Tempo,Urban,Mixed,20140104,109.0,0,1989.0
212,Promiscuous,NELLY FURTADO featuring TIMBALAND,Energizing,Medium Tempo,Pop,Mixed,20060708,189.0,1,1978.0
213,Like A Cowboy,RANDY HOUSER,Empowering,Medium Tempo,Traditional,Male,20141220,340.0,0,1969.0
214,Empire,SHAKIRA,Sensual,Medium Tempo,Electronica,Male,20140412,200.0,0,1977.0
215,Womanizer,BRITNEY SPEARS,Energizing,Medium Tempo,Pop,Female,20081025,174.0,1,1981.0
216,"Hold On, We're Going Home",DRAKE featuring MAJID JORDAN,Cool,Medium Tempo,Urban,Male,20140104,188.0,0,1986.0
217,Sledgehammer,FIFTH HARMONY,Excited,Fast Tempo,Pop,Female,20141213,271.0,0,1993.0
218,How To Love,CHRISTINA GRIMMIE,Energizing,Medium Tempo,Urban,Male,20140524,233.0,0,1994.0
219,Perfect Storm,BRAD PAISLEY,Yearning,Medium Tempo,Traditional,Male,20141025,0.0,0,1972.0
220,Go Hard Or Go Home,WIZ KHALIFA & IGGY AZALEA,Energizing,Medium Tempo,Urban,Male,20150307,233.0,0,.0
221,Cold One,ERIC CHURCH,Rowdy,Fast Tempo,Traditional,Male,20140823,270.0,0,1977.0
222,Amnesia,5 SECONDS OF SUMMER,Peaceful,Medium Tempo,Pop,Male,20140719,205.0,0,1996.0
223,I Can't Make You Love Me,JOSH KAUFMAN,Empowering,Medium Tempo,Rock,Female,20140524,270.0,0,.0
224,Drunk In Love,BEYONCE featuring JAY-Z,Energizing,Medium Tempo,Urban,Mixed,20140104,234.0,0,1981.0
225,Handsome And Wealthy,MIGOS,Aggressive,Fast Tempo,Urban,Male,20141011,221.0,0,1991.0
226,Goodnight Kiss,RANDY HOUSER,Empowering,Medium Tempo,Traditional,Male,20140125,363.0,0,1969.0
227,Ride,SOMO,Sophisticated,Medium Tempo,Urban,Male,20140125,232.0,0,.0
228,Gorilla,BRUNO MARS,Urgent,Fast Tempo,Pop,Male,20140111,253.0,0,1985.0
229,Who I Am With You,CHRIS YOUNG,Empowering,Medium Tempo,Traditional,Male,20140510,272.0,0,1985.0
230,All About It,HOODIE ALLEN featuring ED SHEERAN,Cool,Medium Tempo,Pop,Male,20150124,268.0,0,1991.0
231,Dear Future Husband,MEGHAN TRAINOR,Urgent,Fast Tempo,Pop,Female,20140927,253.0,0,1993.0
232,No Tellin',DRAKE,Cool,Medium Tempo,Urban,Male,20150307,322.0,0,1986.0
233,Who Do You Love?,YG featuring DRAKE,Cool,Medium Tempo,Urban,Male,20140329,238.0,0,1986.0
234,The Old Rugged Cross,CRAIG WAYNE BOYDE,Easygoing,Medium Tempo,Other,Male,20141227,253.0,0,1978.0
235,Wrecking Ball,MILEY CYRUS,Empowering,Medium Tempo,Pop,Female,20130928,196.0,1,1992.0
236,Stockholm Syndrome,ONE DIRECTION,Yearning,Medium Tempo,Pop,Male,20141206,227.0,0,1994.0
237,Delirious (Boneless),"STEVE AOKI, CHRIS LAKE & TUJAMO featuring KID INK",Defiant,Medium Tempo,Electronica,Male,20140906,214.0,0,.0
